timestamp,store_id,store_name,wait_time,num_1,num_2,num_3,num_4,togo_numbers,last_time
2026-04-21 11:27:35,0006,新竹店,5,1023,3009,5000,7006,0013,0
2026-04-21 11:27:35,0007,101店,5,1060,3038,5011,7002,"0020,0073",0
2026-04-21 11:27:35,0008,台中店,5,1055,3022,5004,7002,"0012,0017",0
2026-04-21 11:27:35,0009,板橋店,25,1037,3017,5004,7001,"0002,0023",0
2026-04-21 11:27:35,0010,高雄店,45,1057,3030,5014,7012,"0024,0064,0071",0
2026-04-21 11:27:35,0011,南西店,30,1068,3022,5008,7007,"0003,0004",0
2026-04-21 11:27:35,0012,A4店,0,1023,3008,5002,7000,,0
2026-04-21 11:27:35,0013,A13店,0,1021,3010,5000,7000,,0
2026-04-21 11:27:35,0015,新生店,80,1043,3033,5008,7006,,0
2026-04-21 11:28:37,0003,復興店,40,1081,3035,5010,7001,"0091,0108",0
2026-04-21 11:28:37,0005,天母店,10,1043,3021,5004,7003,"0015,0002,25-1,0050,35-1",0
2026-04-21 11:28:37,0006,新竹店,5,1024,3009,5000,7006,,0
2026-04-21 11:28:37,0007,101店,5,1060,3038,5011,7002,0020,0
2026-04-21 11:28:37,0008,台中店,10,1057,3023,5004,7002,"0012,0017",0
2026-04-21 11:28:37,0009,板橋店,30,1037,3017,5004,7001,0023,0
2026-04-21 11:28:37,0010,高雄店,45,1058,3030,5014,7012,"0024,0064,0071",0
2026-04-21 11:28:37,0011,南西店,30,1069,3022,5008,7007,"0003,0004",0
2026-04-21 11:28:37,0012,A4店,0,1024,3008,5002,7000,,0
2026-04-21 11:28:37,0013,A13店,0,1023,3010,5000,7000,,0
2026-04-21 11:28:37,0015,新生店,80,1046,3034,5008,7006,,0
2026-04-21 11:29:40,0003,復興店,40,1081,3035,5010,7001,"0091,0108",0
2026-04-21 11:29:40,0005,天母店,10,1044,3023,5004,7003,"0015,0002,25-1,0050,35-1",0
2026-04-21 11:29:40,0006,新竹店,5,1024,3009,5000,7006,0046,0
2026-04-21 11:29:40,0007,101店,5,1063,3038,5011,7002,0020,0
2026-04-21 11:29:40,0008,台中店,15,1057,3023,5005,7002,"0012,0017",0
2026-04-21 11:29:40,0009,板橋店,30,1038,3017,5004,7001,"0023,0029",0
2026-04-21 11:29:40,0010,高雄店,45,1058,3030,5014,7012,"0024,0064,0071,0007",0
2026-04-21 11:29:40,0011,南西店,30,1069,3022,5008,7007,"0003,0004",0
2026-04-21 11:29:40,0012,A4店,0,1027,3008,5002,7000,,0
2026-04-21 11:29:40,0013,A13店,0,1025,3010,5000,7000,,0
2026-04-21 11:29:40,0015,新生店,75,1046,3034,5008,7006,,0
2026-04-21 11:30:42,0003,復興店,50,1081,3035,5010,7001,"0091,0108,0120,0121",0
2026-04-21 11:30:42,0005,天母店,15,1046,3023,5004,7003,"0015,0002,25-1,0050,35-1",0
2026-04-21 11:30:42,0006,新竹店,0,1026,3012,5000,7006,0046,0
2026-04-21 11:30:42,0007,101店,10,1065,3038,5011,7002,0020,0
2026-04-21 11:30:42,0008,台中店,20,1058,3023,5005,7002,"0012,0017,0059",0
2026-04-21 11:30:42,0009,板橋店,30,1039,3017,5004,7001,"0023,0004",0
2026-04-21 11:30:42,0010,高雄店,45,1058,3030,5014,7012,"0024,0064,0071,0007",0
2026-04-21 11:30:42,0011,南西店,30,1069,3023,5008,7007,"0003,0004",0
2026-04-21 11:30:42,0012,A4店,0,1029,3008,5002,7000,,0
2026-04-21 11:30:42,0013,A13店,0,1027,3010,5000,7000,,0
2026-04-21 11:30:42,0015,新生店,75,1046,3034,5008,7006,,0
2026-04-21 11:31:44,0003,復興店,50,1082,3035,5010,7001,"0091,0108,0120,0121",0
2026-04-21 11:31:44,0005,天母店,15,1047,3023,5004,7003,"0015,0002,25-1,0050,35-1",0
2026-04-21 11:31:44,0006,新竹店,0,1027,3012,5000,7006,0046,0
2026-04-21 11:31:44,0007,101店,10,1066,3038,5011,7002,0020,0
2026-04-21 11:31:44,0008,台中店,20,1059,3023,5005,7002,"0012,0017,0059,0013",0
