timestamp,wait_time,num_1,num_2,num_3,num_4,togo_numbers,last_time
2026-04-21 10:59:47,0,1000,3000,5000,7001,,0
2026-04-21 11:00:47,0,1002,3000,5000,7001,,0
2026-04-21 11:01:47,0,1005,3001,5000,7002,,0
2026-04-21 11:02:47,0,1006,3001,5000,7002,,0
2026-04-21 11:03:48,0,1008,3001,5000,7002,,0
2026-04-21 11:04:48,0,1008,3001,5000,7002,,0
2026-04-21 11:05:48,0,1008,3001,5000,7002,,0
2026-04-21 11:06:48,0,1008,3001,5000,7002,,0
2026-04-21 11:07:49,0,1009,3001,5000,7004,,0
2026-04-21 11:08:49,0,1010,3001,5000,7004,,0
2026-04-21 11:09:49,0,1011,3001,5000,7006,,0
2026-04-21 11:10:49,0,1011,3001,5000,7006,,0
2026-04-21 11:11:49,0,1012,3001,5000,7006,,0
2026-04-21 11:12:50,0,1012,3001,5000,7006,,0
2026-04-21 11:13:50,0,1013,3001,5000,7006,,0
2026-04-21 11:14:50,0,1013,3001,5000,7006,,0
2026-04-21 11:15:50,0,1014,3002,5000,7006,,0
2026-04-21 11:16:50,0,1016,3002,5000,7006,,0
2026-04-21 11:17:51,0,1016,3002,5000,7006,,0
2026-04-21 11:18:51,0,1016,3003,5000,7006,,0
2026-04-21 11:19:51,0,1016,3003,5000,7006,0013,0
2026-04-21 11:20:51,0,1019,3003,5000,7006,0013,0
